模块,子模块,功能点,详细描述,适用端,状态/优先级
模具管理,模具台账,模具列表查询,查看所有模具的基础信息（编号、型号、状态、部门等）,管理端,高
模具管理,模具台账,SHOT 上限显示,在模具列表中清晰显示每套模具的设计寿命上限,管理端,高
模具管理,模具台账,所在设备显示,实时显示模具当前绑定的设备编号及其运行状态,管理端,高
模具管理,模具台账,模具详情,查看模具的冲次历史、维修记录、备件绑定关系,管理端,高
模具管理,模具台账,模具编辑/新增,支持手动录入或修改模具的基础档案,管理端,中
模具管理,模具台账,审计模式切换,支持切换至审计模式，隐藏敏感的生产数据（如 SHOT 上限等）,管理端,中
模具管理,模具台账,状态兜底机制,加载时自动为无数据模具生成占位信息，防止页面白板,管理端,高
模具管理,生产准备,上线清单,查看当前计划上线的模具及其准备进度,管理端,中
设备监控,看板视图,设备状态看板,以可视化色块展示 24 台设备（BMD-01~24）的运行、空闲、保养、维修状态,管理端,高
设备监控,看板视图,模具与设备关联,在看板上直接看到每台设备上运行的模具（支持 2/3/4 模模式）,管理端,高
设备监控,看板视图,看板说明弹窗,通过颜色、图标及进度条解释看板各元素的业务含义,管理端,低
设备监控,详情交互,设备指挥中心,点击卡片进入详情，包含 P1/P2/P3 模具切换及以下交互按钮：1.【创建保养任务】：针对选中位置发起 Level 1-3 保养申请；2.【创建报修任务】：针对异常模具发起即时维修申报；3.【卸载模具】：执行模具从机台下线流程；4.【安装模具】：打开库存清单选择新模具上线；5.【模具停用】：对损坏或报废模具进行状态封存。,管理端,高
设备监控,详情交互,位置动态选中,进入详情页自动选中首个有数据的模具位置，优化交互体验,管理端,中
设备监控,详情交互,空数据点击提示,点击无数据区域时弹出友好提示，避免无效操作,管理端,中
设备监控,冲次监控,实时冲次追踪,实时监控模具的当前冲次，并与寿命上限进行对比,管理端,高
设备监控,冲次监控,寿命预警,当模具冲次接近上限（如 90% 以上）时，自动触发视觉预警（红/黄/绿）,管理端,高
备件管理,库存管理,备件列表,管理所有模具备件（加热棒、POT 等）的库存数量,管理端,高
备件管理,库存管理,库存入库/出库,记录备件的入库和领用记录，支持备注操作人,管理端,高
备件管理,库存管理,库存预警,当备件库存低于最小安全水位时，系统自动高亮提示,管理端,高
备件管理,库存管理,冲次寿命追踪,针对有寿命要求的备件，记录其累计使用冲次,管理端,中
备件管理,智能预测,AI 采购建议,根据历史消耗和未来两周的生产计划，AI 自动推荐采购数量,管理端,高
备件管理,智能预测,消耗趋势分析,图表化展示备件的月度/年度消耗走势,管理端,中
保养与维修,保养中心,保养计划,管理模具的定期保养（Level 1-3）计划，支持后台选项 CRUD 维护,管理端,中
保养与维修,保养中心,保养记录,查看所有模具的历史保养详情、耗时、执行人及上传的现场图片,管理端,中
保养与维修,维修记录,异常维修档案,记录模具的非计划停机维修原因、处理结果及更换备件，支持后台选项 CRUD 维护,管理端,中
保养与维修,维修记录,维修图片查看,在管理后台查看维修任务上传的现场异常图片,管理端,中
保养与维修,任务中心,待办清单,汇总全厂需保养、维修、验证的任务，支持按楼层/紧急度筛选,管理端,高
数据报表,分析看板,综合报表,多维度分析模具利用率、故障率、备件消耗金额,管理端,中
移动端功能,模具查询,扫码/输入查询,通过扫描模具二维码或输入编号快速定位模具状态,移动端,高
移动端功能,模具查询,库位指引,显示模具在仓库中的具体位置，方便找寻,移动端,中
移动端功能,模具转换,上模流程,移动端引导式完成模具从仓库到设备的安装确认流程,移动端,高
移动端功能,模具转换,下模流程,模具从设备拆卸、清理、入柜的完整闭环记录,移动端,高
移动端功能,流程执行,保养执行,维修工在手机端查看保养标准，并逐项勾选确认执行情况,移动端,高
移动端功能,流程执行,维修报修/执行,生产现场发现异常快速报修，维修工接收任务并记录处理过程,移动端,高
移动端功能,消息通知,预警推送,模具寿命到期、库存不足、强制保养等消息实时推送,移动端,中
系统管理,权限控制,角色管理,定义 Admin、大/小材料工程师、带班、操作员等角色权限,管理端,高
系统管理,权限控制,接口权限联动,前端按钮显隐与后端权限接口实时联动（MOLD_EDIT 等）,管理端,高
系统管理,版本管理,系统更新,显示当前系统版本号（V 5.1.20260213.002）及更新日志,管理端,低
